folio	div_id	heading_tc	heading_tcn	heading_tl	categories	margin	has_figures	continued	continues	al	bp	cn	env	m	ms	pa	pl	pn	pro	sn	tl	md	mu	df	wp
145r	p145r_2	Os de seiche	Os de seiche	Cuttlefish bone	casting		CONTAINS FIGURE	continued		seiche	oreille;main			Os de seiche;estain;plomb;os;papier;or;argent;lute;ardille;bois;charbon;charbonnes	pour scavoir quand il sera en bonne chaleur trempe dedans un petit papierretors Sil le noircist sans lallumer il est en bonne chaleur Mays sil le brusle & y mect le foeu il est trop chault					crient & petillent estant aproche de loreille	Os de seiche;os;petit papierretors;oreille;lute;moule;bois uny				
145v	p145r_2				casting				continues		doigts;genoul;pied			os;bois;sable							doigts;grosse limee quarree;genoul;pied;os;petites pointes de bois				
145v	p145v_2	+fleurs	+Fleurs	+Flowers	casting			continued						sable;ardille							filet;moule;platine dardille;table;marteau				
145v	p145v_1	Mouler herbes et fleurs	Mouler herbes et fleurs	Molding plants and flowers	casting		CONTAINS FIGURE	continued						ardiles;sable;cire;bonne eau de vie							plateines dardiles;cercle;contour;moules plats;long verre				
145v	p145v_2				casting				continues		doigt			luthe;estain;plomb;or;argent;estaim						tellem chault que tu y puisses tenir le doigt sans læsion dans le pertuis	moule;luthe;doigt				
146r	p145v_1				casting				continues	porceau	bouche			fil de fer;cire;ardille;sable destrempe;sable;eau de sel armoniac;eau de fontaine;crocum ferri;crocum;lute;sable qui ha servi;estain fin;plomb;eau;sayes de porceau;cendre;fer	lb;unces	solcy;soulcy					gros pinceau;moule;cercle;fil de fer;fermouer dardille;aiguille;filet delie;petit bastonceau;escuelle;eau enscuelle;lute;trancheplume;poincte dun cousteau;Moule;sayes de porceau;souflet;bouche;molets				
146v	p146v_1	Mouler tortues	Mouler tortues	Molding turtles	casting		CONTAINS FIGURE	continued		tortues;tortue;Celles deau;celles de garrigue			eau;garrigue	cire;gros fil de fer;ardille molle;ardille;huile;eau de vye;sable;eau chaulde;fer;cire fondue			garrigue				poinctes de gros fil de fer chault;cercle dardille;moule;entre deulx dardille;entredeulx dardille;poincte de fer chault				
147r	p146v_1				casting				continues	tortue				cire fondue;fer;cire;huile;eau chaulde;ardille;eau;fer asses fortettes							fer chault;moule;cercle;contour dardille;costeau;molles;molle;poinctes de fer asses fortettes				
147v	p147v_1	+ Gect de cuivre allie de ☾ qui est comme soubdure fort basse / ard et vieulx K et quelque R sur xii	+ Gect de cuivre allié de ☾ qui est comme soubdure fort basse / ard et vieulx K et quelque R sur xii	+Cast of copper alloyed with ☾, which is like very base solder / ard and old K and some R out of xii	casting									cuivre;☾;soubdure fort basse;vieulx K;papier;argent;argent pur							moule;bullitoire				
147v	p147v_2	Luth	Luth	Lute	casting									Luth							Luth;moules				
147v	p147v_3	Crusol	Crusol	Crucible	casting						doigts				doigts						Crusol;souflet;crusol				
147v	p147v_4	Gect de letton	Gect de letton	Cast of latten	casting			continued						letton;sel armoniac;calamine crue & pure pulverisee;papier;tartre crud;sel commun;eau clere;verre fondu;calamine;letton doulx de poelonne;letton aigre de chandelier;limaille despingle	grains comme pois;partye;moictie	pois					poilonnes de letton qui sont battues & forgees tanvres;moule;grattebroisse				
148r	p147v_4				casting				continues					cuivre;argent							grattebroisse				
148r	p148r_1	Belle couleur au letton	Belle couleur au letton	Beautiful color for latten	casting;metal process									letton;eau;racine de cucurme ou terra merita		cucurme;terra merita					grattebroisse				
148r	p148r_2	Blanchiment	Blanchiment	Whitening	metal process									Blanchiment;argent;tartre;fer;blanchiment;cuivre;tartre pulverise;sel commun	partye;moictie						manche du marteau				
148r	p148r_3	Mouler pied de butor ou daigle ou daultres oyseaulx pour pied de salieres ou vases	Mouler pied de butor ou d’aigle ou d’aultres oyseaulxpour pied de salieres ou vases	Molding the foot of the bittern, or of the eagle, or of other birds for the foot of saltcellars or vases	casting					butor;aigle															
148r	p148r_4	Crocum ferri	Crocum ferri	Crocum ferri	casting									Crocum ferri;limaille;fer;bon vinaigre;mabre;vinaigre							caisse de fer;mabre				
148v	p148v_1	Mouler tortues	Mouler tortues	Molding turtles	casting					tortues;tortue	petit doigt			plastre fort;alum de plume;crocum	de telle capacite que le bout du petit doigt y puisse presque entrer;jours						moule;cramponne;moules;crampone;crampons;presse;burin;ciselet;chaple;petite gouge;petites portes pieces rondes;poincte dun ciselet;petite lime			chaple	
149r	p149r_1	Ramollir le fer et le rendre fort doux	Ramollir le fer et le rendre fort doux	Softening iron and rendering it very soft	metal process					cheval				fer;sublime;chaulx vive;savon de venise;fiente de cheval;meschant linge	le soir dans un bon foeu jusques au matin		venise				meschant linge				
149r	p149r_2	Or bas dallemaigne electre	Or bas d’Allemaigne, electre	Base gold from Germany, electrum	metal process								rivieres	Or bas dallemaigne;electre;or de rheim;or de paillelle;argent			allemaigne;rheim		orfevres			poison		electre	
149r	p149r_3	Divers arts dallemaigne	Divers arts d’Allemaigne	Various arts from Germany	metal process								eau	metaulx;or;argent;fil de fer;fer;fil			allemaigne		artisans de metaulx dor & dargent & aultres		moulins deau;martinets				
149r	p149r_4	Medaille a reparer	Medaille à reparer	Repairing a medal	casting									estaim;estain de glace											
149v	p149v_1	Mouler vases de plusieurs pieces	Mouler vases de plusieurs pieces	Molding vases in several pieces	casting									bois;cire					orfevres qui travaillent de grosserie et vaisselle		tour				
149v	p149v_2	Souldure dor	Souldure d’or	Gold solder	metal process							denier dor;vieulx douzains		Souldure;or;aloe fin	grain										
149v	p149v_3	Mouler une mousche	Mouler une mousche	Molding a fly	casting					mousche;grosses mouches;papillons;cygales;saulterelles	font a la main			huile de froment;lame dargent fort tanvre;sable destrempe		froment									
149v	p149v_4	Chauve souris	Chauve souris	Bat	casting					Chauve souris				metal;cire							moule				
150r	p150r_1	Cire fort dure	Cire fort dure	Very strong wax	casting									Cire fort dure;rousine;bol											
150r	p150r_2	Ligues diverses destain et plomb	Ligues diverses d’estain et plomb	Various alloys of tin and lead	casting					tortues;lesards	doigt			estain;plomb;plomb fin;estaim;estain fin;estaim fin	moictie;moitie;lb;℥;doigt										
150r	p150r_3	Moules	Moules	Molds	casting									plastre;charbon allume;plomb;estain;brique;metal;escaille de fer fort subtillem broyee							Moules;moule;moules				
150v	p150v_1	Mouler creux	Mouler creux	Molding hollow	casting		CONTAINS FIGURE	continued		tortue	doigts;bout du doigt			fil de fer;ardille molle;sable a mouler;ardille;cire;sable destrempe;eau;luthe;sable qui ha servi aulx moules;suif;cire noire;plomb;souldure;eau chaulde	doigts;moictie						poincte de fil de fer;moule;table;cercle dardille molle;moules;cercle dardille;bout du doigt;petite poincte;molle;luthe;poincte;poinctes				
151r	p150v_1				casting		CONTAINS FIGURE	continued	continues	tortues				cire blanche;cire noire soufree;charbon;cendre;cire;luth;sable;luth commun;brique pilee;luthe;plastre;plomb;estain;estaim;crocum;terre;cire noire;fer;fils de fer;cendre de la cire	moictie;espesseur du dos de costeau			Maistre Alexandre	Maistre		moule;crampons;luth;luth commun;pilee;luthe;molle;costeau;poincte de fer touchant chaulde;fils de fer;souflet				
151v	p150v_1				casting		CONTAINS FIGURE		continues	tortue;tortues;serpent;lesard				terre;ciment;plomb;estain fin;crocum;sable;papier	moictie						ciselet;molle;burin;chaple;trancheplume bien tranchant;lime petite;lime;moule;presse;petits ciselets;porte piece ronde;gouge;ciselets;petits portes pieces;petites couges;ciselets cranes			chaple	
151v	p151v_1	Huile de froment	Huile de froment	Wheat oil	casting					mouche				Huile de froment;lames de fer;froment;huile noire;huile;argentees;dorees;vernis;fer;cuir dore;pierres blanches faulces		froment			faiseurs de cuir dore		lames de fer bien vives				gardes;espees
152r	p152r_1	Mouler un rat	Mouler un rat	Molding a rat	casting					rat;lesard;petite souris;serpents;lesards;mouche;grand rat;souris;oiseau			au froid	argentees;huile de froment;sable;huile commun;moicties de poix bien ronds;huile dolif;jaune doeuf;huiler;ardille;fer;eau de vye;huile;os grandelets;os;beurre;huile de fromant	jour	froment;poix;olif;fromant	Syracuse	tyran de Syracuse			petite chandelle;peigne fort delie;plaste de ardille;pointe de fer;poinctes;moule;four				
152v	p152v_1	Reparer les choses gectees	Reparer les choses gectées	Repairing cast things	casting		CONTAINS FIGURE				pied			metal;plastre;crocum;estain;cuir;sable subtil;sable;cire;lame subtile de plomb;plomb;fil darchal;rosine;souldure;fer;soulde;or					orfevres		moule;coisinet de cuir;table des orfevres;lime;corde;pied;sac;burin;chaple;lame subtile de plomb;fil darchal;fer chault;forge;ciselets;coissinet				
153r	p153r_1	Mouler en cave pour cachets ou aultre	Mouler en cave pour cachets ou aultre	Molding hollow for seals or other things	casting						urine			cire;verre;ardoise;sable;huile;eau de vye;eau chaulde;plomb allie;plomb;sable destrempe;argent;metal;cire fondue;urine chaulde;or;estain;croye broyee;fumee de chandelle;glaire doeuf sechee;fumee de lampe;noir a noircir;cire blanche							verre ou ardoise unie;pinceau;chandelle				
153r	p153r_2	Donner telle espesseur a une medaille que tu vouldras	Donner telle espesseur à une medaille que tu vouldras	Giving the thickness that you wish to a medal	casting			continued						crocum;escaille de fer fort broyee							moule				
153v	p153r_2				casting		CONTAINS FIGURE		continues					farine;buys;paste;coston;beurre fondu;huile dolive;ardille;planches de plomb & cuivre;carton;huile;beurre;sable;eau chaulde		buys;olive					petit baston de buys;roulleau;moule;coston;pinceau;contour dardille;rolleaux;planches de plomb & cuivre;carton;rolleau				
153v	p153v_1	Essayer la bonte et force dun sable a recuire	Essayer la bonté et force d’un sable à recuire	Testing the goodness and strength of a sand to be reheated	casting									sable a recuire							moule				
153v	p153v_2	Adoulcir lor	Adoulcir l’or	Softening gold	metal process									or;ciment;antymoine;verdet											
154r	p154r_1	Lor nestre fixe	L’or n’estre fixe	Gold not being fixed	metal process									or;or en doreure;plomb;☿											
154r	p154r_2	Couper plomb	Couper plomb	Cutting lead	metal process									plomb;verre;or;argent;blanchiment;bullitoire							costeau;ciseau				
154r	p154r_3	Adoulcir largent	Adoulcir l’argent	Sweetening silver	metal process							real;vieulx sol;carolus;sol		argent;mortier sec;sable;bonne chaulx;argent de real;plombeus;souldure;soulder;cuivre;cuivre fin	moictie				orfevres qui travaillent de grosserie;orfevres						
154r	p154r_4	Escaille de fer	Escaille de fer	Iron scales	metal process									Escaille de fer;mabre;sable susdict de noyau;plomb;estain;cuivre;letton;crocum;sable							mabre				
154r	p154r_5	Limaille des metaulx	Limaille des metaulx	Metal filings	metal process									Limaille des metaulx;metal;limaille destain et plomb;suif;Celle dor;salpestre;Celle dargent;suin de verre							bain				
154v	p154v_1	Letton	Letton	Latten	casting									Letton;sel armoniac;cuivre rouge;estain;verre fondu											
154v	p154v_2	Mouler	Mouler	Molding	casting																				
154v	p154v_3	Gect dargent	Gect d’argent	The casting of silver	casting									argent;or;eau;soubdure;son							moule				
154v	p154v_4	Renforcer les fleurs et choses delicates	Renforcer les fleurs et choses delicates	Reinforcing flowers and delicate things	casting					mouche				huile de froment;beurre fondu		froment;roses;pensee					petit pinceau				
154v	p154v_5	fraises	Fraises	Strawberries	casting									souldure;estain;fil de letton;soulde		fraises;fraisiers									
155r	p155r_1	Mouler une rose	Mouler une rose	Molding a rose	casting		CONTAINS FIGURE				alheine			souldure;sable;beurre fondu;sable destrempe;cendre;cire;plomb;estain;letton estame;eau de vye;ardille;huiler;eau;terre		rose;rosier;rosiers;fraisiers					moule;filets;moules;cercle dardille				
155v	p155v_1	Rose	Rose	Rose	casting					poisson;mouche				estain;soulde;fil de letton;soulder;colle;colle de poisson;cire esb a esbaucher;cire blanche;ceruse bien broyee;blanc de plomb;fer;or;argent;metaulx		Rose;rose					tige de fil de letton;petite poincte de fer chaulde;petites poinctes;clou			cire esb a esbaucher	
156r	p156r_1	Mouler promptement et reduire un cave en relief	Mouler promptement et reduire un cave en relief	Molding promptly and reducing a hollow form to a relief	casting									cire coloree;plomb;estain;cire;or;argent;metal;mie de pain;cire fondue							moule				
156r	p156r_2	Ouvrage dor fort leger et creux	Ouvrage d’or fort leger et creux	Very light and hollow work of gold	casting					lesard		billon		or;argent bas;dore;doreure;eau fort;argent;or amalgamé							grattebroisse				
156r	p156r_3	Ciseller	Ciseller	Chasing	casting						main fort legere			plomb;grands metaulx							Ciseller;burin;onglet;burin ordinayre a tailler;chaple;cisellets				
156v	p156v_1	Mouler une mousche	Mouler une mousche	Molding a fly	casting		CONTAINS FIGURE			mousche;grosses vomouches;porceau;mouche;poisson			gardemangers	huile dolif;argent;or;cire fondue;fil de fer;beurre fondu;huile de froment;eau de vye;suif;gresse de porceau;beurre;estain;souldure;metal;esmailler;esmaille;verre de vitre de lorraine;fer;cire;colle;colle de poisson;cire a esbaucher;cire blanche;ceruse;blanc de plomb;corde despinette;colleras		olif;sauge;saulge;froment	lorraine				poincte de fil de fer chaulde;petit pinceau;poincte de fil de fer chault;poincte de fer;ciseaulx;pincettes;poincte de fer chaulde		espinette	cire a esbaucher	
157r	p157r_1	Moyen des orfevres pour mouler creux	Moyen des orfevres pour mouler creux	A means for goldsmiths for molding hollow	casting					seiche				os de seiche;cire;plomb;os;papier;or;argent;souldent					orfevres		os de seiche;os;papier;chaple				
157r	p157r_2	Rouge cler	Rouge cler	Rouge clair	painting;metal process									Rouge cler;or esp battu tanvre;lingot dor					orfevres		chaple				
157r	p157r_3	Nettoyer et desgraisser tes ouvrages gectes destain et aultres	Nettoyer et desgraisser tes ouvrages gectés d’estain et aultres	Cleaning and degreasing your works cast from tin and others	casting									estain;lessive;bonnes cendres;suif;gresse											
157r	p157r_4	Disposer lherbe ou fleur pour gecter	Disposer l’herbe ou fleur pour gecter	Arranging plants or flowers for casting	casting									argent;cendre					fondeurs		moule			supraplus	
157r	p157r_5	Mousches	Mousches	Flies	casting					Mousches;mouche;poisson;porc				colle;colle de poisson;cire;poil de porc;corde despinette;ardille							platene dardille;poinctes;poincte		espinette		
