folio	div_id	heading_tc	heading_tcn	heading_tl	margin	has_figures	continued	continues	al	bp	cn	env	m	ms	pa	pl	pn	pro	sn	tl	md	mu
133r	p133r_3	Marques des poinctes de fil de fer qui se trouvent en la teste de lanimal	Marques des poinctes de fil de fer qui se trouvent en la teste de l’animal.	Marks from the points of iron wire which are found on the head of the animal									fil de fer;fer;cire;mastic;ciment							poinctes de fil de fer;poinctes;poincte;poincte de fer;fil de fer		
133r	p133r_4	Crampons et moule rompu	Crampons et moule rompu	Clamps and broken mold		CONTAINS FIGURE							argent vif;Relute;argent;or;lute;luter							Crampons;moule;crampons;moules		
133v	p133v_1	Le souflement et petits trous qui se trouvent aulx moules	Le souflement et petits trous qui se trouvent aulx moules	Bubbles and little molds which are found in the mold																moules;escuelle		
133v	p133v_2	Chose qui nest en despouille	Chose qui n’est en despouille	Thing that does not release		CONTAINS FIGURE			lesardes				sang;cire							moule;ciseaux;four;espingle;poinctes		
133v	p133v_3	Divers animaulx enlasses	Divers animaulx enlassés	Various animals entwined			continued		serpent;lesard;grenoille;angroisse;angroise;angroissee				terre;cire;fil de fer							four;moule;fil de fer;plaste de cire terre		
134r	p133v_3							continues	lesards;lesard;angroisse				ardile;cire;metal							poinctes;plaste dardile;plastes de cire;moule		
134r	p134r_1	Pour racoustrer un moule perce	Pour racoustrer un moule percé	For mending a pierced mold									fer;cire;lutter							moule;poinctes de fer		
134r	p134r_2	Sable de crocum	Sable de crocum	Sand of crocum									crocum;crocum ferri;argent;or;plomb;estain							moules		
134v	p134v_1	Faire courre le ☀	Faire courre le ☀	To make ☀ run		CONTAINS FIGURE			iraigne				☀;Verdegris;sel armoniac;Borras;salpestre;borras;sel armo;verdegris;mabre;vinaigre;verdet;huile;metaulx	aultant dun que daultre;aultant dun que dautre;moitie						mabre;forge		
134v	p134v_2	Pour gect dor en grand ouvraige	Pour gect d’or en grand ouvraige	For gold casts for large works									or;fil de fer;plomb;estaim							cramponer;moules;fil de fer;bandes;forge		
134v	p134v_3	Secret pour soulder lor et argent en petit ouvrage	Secret pour soulder l’or et argent en petit ouvrage	Secret for soldering gold and silver for small works						dents			or;argent;cire;souldure;pituite;salive espesse quiet blanche qui se tient aulx dents;soulder;terre grasse;salive;borras;eau de graine de coings bouillie		coings					burin		
135r	p135r_1	Couleurs pour or ou saulce	Couleurs pour or ou saulce	Colors for gold or mixture									or;Verdegris;sel armoniac;salpestre;or aigre fondu	autant dun que daultre & aussi gros quune febve de salpestre								
135r	p135r_2	Gect	Gect	Gate		CONTAINS FIGURE			sernailles	doigts		lieu mouille & humide	metal;cire	doigts						moules;moule		
135r	p135r_3	Foeille de vigne et petite grenoille	Foeille de vigne et petite grenoille	Vine leaf and small frog					grenoille;iraigne				ardille;cire;scudegrun;verd de terre		vigne;vignes					plaste dardille;poinctes;sayettes		
135v	p135v_1	Pour gecter en ☼	Pour gecter en ☼	Casting in ☼		CONTAINS FIGURE	continued			doigts			☼;borras;charbons;charbon;or;verdet;selpestre;sal armoniac;lute;crocum	doigts;grosseur dune febve;lb				garson		crusol;forge;souflet;creuset;moule;four a vent		
136r	p135v_1							continues					eau;or;estaim;letton;sol;laitton;laicton;plomb;eau fort							souflet;moule;moulets;crusol;fourneau a vent		
136r	p136r_1	D Esm Esmailler ouvraiges tanvres	D Esm Esmailler ouvraiges tanvres	D EsmEnamelling thin works									Esmailler;or;esmail					orfevres		burin		
136v	p136v_1	Pour gecter en letton	Pour gecter en letton	For casting with latten					porc			air;vent	letton;letton de poilons ou lon faict la bouillye des petits enffans;gectons dallemaigne;calamine;letton refondu;letton fondu;letton de refondu;or;argent;cuivre;metal;cloux de rosette;laitton doulx;laitton;eau;argent fondu;acier;fumee calaminayre;sel armoniac;huile tingente;tuthie præparee;fumees de la calamine;verre;laicton;cuivre rouge;charbons;fer;linge;graisse de porc;salpestre			allemaigne		petits enffans;gecteurs		moule;chassis;queue de cuivre ou de fer;linge trempe dans de la graisse de porc meslee de salpestre ou sel armoniac	pernicieuse	
137r	p137r_1	Pour gecter en cuivre rouge	Pour gecter en cuivre rouge	For casting in red copper								vent	cuivre rouge;cuivre rouge pur de chaudron ou dautres ouvrages tanvres;sel armoniac;estaim fin;cuivre;or;argent;letton;metal;acier;argent fondu;laitton;papier;metaulx;eau							moule;estoupes;pot;vaisseau		
137r	p137r_2	Huile tingente pour fayre courre les metaux	Huile tingente pour fayre courre les metaux	Huile tingente to make metals run		CONTAINS FIGURE							Huile tingente;metaux;☿ sublime de venise vray;arsenic sublime;Aes ustum;Sel armoniac;verre;cendres;cire;metal fondu;tartre;crasse;ordure;sel armoniac;estain;eau	poix		venise		fondeurs de grand gect		bouteille de verre		
137r	p137r_3	Crampons	Crampons	Clamps		CONTAINS FIGURE							fil de fer							Crampons;tenailles plattes;enclume;moules		
137v	p137v_1	Destremper sable pour moule de medailles plattes	Destremper sable pour moule de medailles plattes	Tempering sand for molds of flat medals			continued		lesards	doigt			cire;metal;huilent;eau de vye;eau;huilee;eau froide;huiles;eau chaulde;huile;huiler						estre de telle chaleur que tu ny puysses tenir le doigt sinon avec sentiment bien chault	pinceau;moule;molle;doigt;costeau		
138r	p137v_1					CONTAINS FIGURE		continues	escrevisses;chancres;cerf volant				or;argent;cuivre;letton;os;☿;rascleures des moules;brique;moules qui ont servy;lute;eau de sel armoniac;spat dallemaigne;metaulx;cire noire soufree;bois;eau;ardille;terre grise;La jaulne;cire			allemaigne				moules;moulle;crampons;platene dardille;molle;table;mole		
138v	p138v_1	Talc mesle aulx moules	Talc meslé aulx moules	Talcum mixed in the molds									Talc;huile;acier							mortier dacier;pilon		
138v	p138v_2	Or gecte fort tanvre	Or gecté fort tanvre	Gold cast very thinly					lesards				Or;souldure;or;linge;or fin non alie;huile de froment;or allie;soubder		pensee;froment			orfevres		linge;marteau		
138v	p138v_3	Diamants contrefaicts mis en oeuvre	Diamants contrefaicts mis en oeuvre	Counterfeit diamonds put in a work								jour	Diamants contrefaicts;cire noire;cire;huile de froment;fumee de lampe;pierres faulce;pierre;acier		froment					poincte dacier;martelet a tatiner		
139r	p139r_1	Gect de plomb et destaim	Gect de plomb et d’estaim	Casts of lead and tin		CONTAINS FIGURE	continued		lesards;serpents;seiche	doigt			plomb;estaim;estaim fin;plomb noeuf &non sophistique;metaulx;charbon;rousine;crasse;estain de glace;metal fondu;metal;estain fin;plomb neuf;cuivre;cendres;os de seiche;papier;estain;cartons;or;boys;carton	℥;lb;aussy gros quune febve;moictie					jusques a ce que tu puisses tenir le doigt sans læsion dans le trou du gect;Essaye pour cet effect avecq du papier sil roussist le papier cest asses il est bon a gecter mays sil noircist le papier il est trop chault	doigt;crusol;souflets;raclouer;souflet;moule;molle;moules;presses;planches de cuivre;os de seiche;papier;cartons;poincte dor ou de boys;carton		
139v	p139r_1							continues					terre;lames de cuivre;fer;bois;fer blanc;cuivre							moules;planches de cuivre;estrie ou vis de fer		
139v	p139v_1	Gect en cire pour representer lanimal quon na point	Gect en cire pour representer l’animal qu’on n’a point	Cast of wax to represent an animal that one has not got			continued		serpents				cire;cire blanche;crasse;charbon pile;linge;charbon;charbons;soufre;eau;charbon susdict pulverise;charbon pulverise;cire noire soufree;cendre	moictie;pleine escuelle a oreille;aultant quune grosse noix	noix					linge;manche;escuelle a oreille;baston;moule;moule a noyau;cierge		
140r	p139v_1					CONTAINS FIGURE	continued	continues	serpent	doigt			plastre blanc pulverise;eau froide;eau si chaulde;eau;eau chaulde;cire;sucre;cuivre;soufre;ardoise;vernis;argent	bonne heure;nuict;jour					eau si chaulde quau commancement tu ny puisses tenir le doigt	moule;moule qui est de plastre blanc pulverise;doigt;moules;ardoise;chandelle;tranche plume;baston;cierge		
140v	p139v_1							continues					argent;cuivre;eau fort;or									
140v	p140v_1	Pour gecter en soufre	Pour gecter en soufre	For casting in sulfur									soufre;miette de pain;cire									
140v	p140v_2	Mouler et rapetisser une grande figure	Mouler et rapetisser une grande figure	Molding and shrinking a large figure									mie de pain;miette;pain;soufre							four		
140v	p140v_3	Gect de plomb et estain en plastre	Gect de plomb et estain en plastre	Cast of lead and tin in plaster		CONTAINS FIGURE				doigt			plomb;estain;plastre;brique;alum de plume;crocum;huile;eau de vye	℥;deniers					de telle sorte que je pouvois tenir le doigt sans me brusler	molle;moule;moules;doigt		
141r	p141r_1	Mouler une escrevisse	Mouler une escrevisse	Molding a crayfish		CONTAINS FIGURE	continued		escrevisse;escrevisses;cerf volant;chancre;tortues				ciment dorfevre;fer;huile dolif de froment;eau de vye;os;☿;huile;vin;sel;vermeillon;laque;vermiellon;ocre jaulne		olif;froment			orfevre		fer;moule;moules		
141v	p141r_1					CONTAINS FIGURE	continued	continues	escrevisse			au soleil	terre Jaulne de potier;ardile;fil de fer;ardille;cire;fer;eau de vye;escrevisse;vermeillon;laque;blanc de ceruse;ocre jaulne;fil de letton;soulde					potier		plaste;plaste dardile;poincte de fil de fer;fer;moule;fil de letton		
142r	p141r_1					CONTAINS FIGURE		continues	escrevisse;chancre;escrevisses				cire;fil de fer;huile;eau;huiler;eau de vye;lute;crocum;cire alongee;fisselle;metal							moule;costeau;burin;broisses;poinctes de fil de fer;crampons;trancheplumes;chaples;burins &		
142v	p142v_1	Mouler saulterelles et choses trop tanvres	Mouler saulterelles et choses trop tanvres	Molding grasshoppers and things too thin		CONTAINS FIGURE			saulterelles;papillon;saulterelle				papier;beurre fondu;boeurre;huile de froment;cire;carton commun;lettre;gomme;ardille;cinabre;huile;charbons		pensee;froment					plaste dardille;moules;forge;moule		
142v	p142v_2	Moules	Moules	Molds					crapault			en lieu humide								Moules;molle;moules;moule		
142v	p142v_3	Luth pour luther tes moules	Luth pour luther tes moules	Lute for luting your molds					cheval				Luth;luther;terre maigre de laquelle les fondeurs dartiglerie & de cloches font leur trusseaulx et moules;mortier;fiente de cheval;bourre descarde;tondure de draps;luth	moictie;tierce partye				fondeurs dartiglerie & de cloches		moules;moule		
143r	p143r_1	Mouler tortues	Mouler tortues	Moulding turtles					tortues;tortue deau;celle de garrigue;serpents;Celles deau;Celles de garrigue;celles deau;celles de garrigue			eau;garrigue;en terre;soubs de la balle de bled ou fumier chauld	vinaigre;eau de vye;urine;eau chaulde;eau de vie;bled;fumier		bled					trencheplume;moulle		
143r	p143r_2	Mouleurs de foix	Mouleurs de Foix	Molders from Foix									crocum;ardoise calcinee;ardoise;porphire;eau			foix		Mouleurs		tamisent;porphire		
143r	p143r_3	Crapault	Crapault	Toad		CONTAINS FIGURE	continued		Crapault				metal							moule		
143v	p143r_3							continues					cire;metal							moule;moules		
143v	p143v_1	Carquans faicts a jour	Carquans faicts à jour	Carcanets made à jour					escrevisses				ardille;cire							chassis		
143v	p143v_2	Limaille de fer	Limaille de fer	Iron filings									Limaille de fer;limaille;ordures;eau claire;eau									
143v	p143v_3	Oeillets	Oeillets	Carnations									foeilles & lames dargent		Oeillets							
144r	p144r_1	Tortues	Tortues	Turtles		CONTAINS FIGURE	continued		Tortues;Celles deau;celles de garrigue;celles deau;tortue			eau;garrigue	vinaigre;urine;ardille;grain de mil jaulne;graine de grand passevelours;petit;graine de chou navette;fer	jours	mil jaulne;grand passevelours;petit;chou navette					moule;sayes;platine dardille;poincte;pinsettes;poinctes de fer		
144v	p144r_1					CONTAINS FIGURE	continued	continues	tortue;serpents;laisards;escrevisse	doigt			ardille;huile;eau chaulde;eau de vye;huilee;eau;fil de fer;eau de sel armoniac;huiler;crocum						en sorte que sans te brusler tu y puisses tenir le doigt sans te brusler	broisses;cercle dardille;moule;pinceau;doigt;mole;platine dardille;molles;platine;poinctes de fil de fer;cercle;molle;crampons		
145r	p145r_1	Gecter en trois chassis	Gecter en trois chassis	Casting in three frames		CONTAINS FIGURE							bronze							chassis		
145r	p145r_2	Os de seiche	Os de seiche	Cuttlefish bone		CONTAINS FIGURE	continued		seiche	oreille;main			Os de seiche;estain;plomb;os;papier;or;argent;lute;ardille;bois;charbon	pour scavoir quand il sera en bonne chaleur trempe dedans un petit papier retors Sil le noircist sans lallumer il est en bonne chaleur Mays sil le brusle & y mect le foeu il est trop chault					crient & petillent estant aproche de l oreille	Os de seiche;os;papier;oreille;moule;bois uny;main		
145v	p145r_2							continues		doigts;genoul;pied			os;bois							doigts;limee quarree;genoul;pied;os;pointes de bois		
145v	p145v_1	Mouler herbes et fleurs	Mouler herbes et fleurs	Moulding herbs and flowers			continued						ardiles;cir;cire;eau de vie							plateines dardiles;cercle;contour;moules plats;long verre		
145v	p145v_2	fleurs	Fleurs	Flowers	left-top	CONTAINS FIGURE							ardille							filet;moule;platine dardille;table;marteau		
146r	p145v_2							continues				fontaine	fil de fer;cire;ardille;eau de sel armoniac;eau de fontaine;crocum ferri;crocum;lute		solcy					pinceau;moule;fil de fer;fermouer dardille;aiguille du filet;bastonceau;escuelle;eau enscuelle		
146v	p146v_1	Mouler tortues	Mouler tortues	Moldingturtles		CONTAINS FIGURE	continued		tortues;tortue;Celles deau;celles de garrigue			eau;garrigue	cire;fil de fer;ardille;huile;eau de vye;eau chaulde;fer;cire fondue							poinctes de gros fil de fer;cercle dardille;moule;poincte de fer		
147r	p146v_1							continues	tortue				cire fondue;fer;cire;huile;eau chaulde;ardille;eau							moule;cercle;contour dardille;costeau;molles;molle;poinctes de fer		
147v	p147v_1	+ Gect de cuivre allie de ☾ qui est comme soubdure fort basse / @ ard es et vieulx K et quelque Rosette sur xii	+ Gect de cuivre allié de ☾ qui est comme soubdure fort basse / ard es et vieulx K et quelque Rosette sur xii	+Casting with copper alloyed with ☾ , which is like very low solder and ard...es and old K and some Re out of xii		CONTAINS FIGURE							cuivre;☾;soubdure;vieulx K;Rosette;papier;argent							moule;bullitoire		
147v	p147v_2	Luth	Luth	Lute									Luth							moules		
147v	p147v_3	Crusol	Crusol	Crucible						doigts				doigts						Crusol;souflet;crusol		
147v	p147v_4	Gect de letton	Gect de letton	Latten casting			continued						letton;de celuy de poilonnes de letton;sel armoniac;calamine crue & pure pulverisee;papier;tartre crud;sel commun;eau clere;verre fondu;calamine;letton doulx de poelonne;letton aigre de chandelier;limaille despingle	grains comme pois;partye;moictie	pois					moule;grattebroisse		
148r	p147v_4							continues					cuivre;argent							grattibroisse		
148r	p148r_1	Belle couleur au letton	Belle couleur au letton	Beautiful color for latten									letton;eau;racine de cucurme ou terra merita		cucurme;terra merita					grattebroisse		
148r	p148r_2	Blanchiment	Blanchiment	Whitening									argent;tartre;fer;cuivre;tartre pulverise;sel commun	partye;moictie						marteau		
148r	p148r_3	Mouler pied de butor ou daigle ou daultres oyseaulx pour @ pied de salieres ou vases	Mouler pied de butor ou d’aigle ou d’aultres oyseaulx pour pied de salieres ou vases	Moulding the foot of the bittern, or of the eagle, or of other birds for the foot of saltcellars or vases					butor;aigle;oyseaulx													
148r	p148r_4	Crocum ferri	Crocum ferri	Crocum ferri									Crocum ferri;limaille;fer;vinaigre;mabre							caisse de fer;mabre		
148v	p148v_1	Mouler tortues	Mouler tortues	Molding turtles					tortues;tortue	petit doigt			plastre;alum de plume;crocum	de telle capacite que le bout du petit doigt y puisse presque entrer;iours						moule;cramponne;moules;crampone;crampons;presse;burin;ciselet;chaple;gouge;lime		
149r	p149r_1	Ramollir le fer @ et le rendre fort doux	Ramollir le fer et le rendre fort doux	Softening iron and rendering it very soft					cheval				fer;sublime;chaulx vive;savon de venise;fiente de cheval;linge	le soir dans un bon foeu iusques au matin		venise				linge		
149r	p149r_2	Or bas dallemaigne Electre	Or bas d'Allemaigne , electre	Base gold from Germany, electre								rivieres	Or bas dallemaigne;Electre;or de rheim;or;argent			allemaigne;rheim		orfevres			poison	
149r	p149r_3	Divers arts dallemaigne	Divers arts d'Allemaigne	Various arts from Germany								eau	metaulx;or;argent;fil de fer;fer;fil			allemaigne		artisans de metaulx dor & dargent & aultres		moulins deau;martinets		
149r	p149r_4	Medaille a reparer	Medaille à reparer	Repairing a medal									estain;estain de glace									
149v	p149v_1	Mouler vases de plusieurs pieces	Mouler vases de plusieurs pieces	Molding vases in several pieces									bois;cire					orfevres qui travaillent de grosserie et vaisselle		tour		
149v	p149v_2	Souldure dor	Souldure d'or	Gold solder							denier;douzains		Souldure;or;aloe fin comme sont les vieulx douzains	grain								
149v	p149v_3	Mouler une mousche	Mouler une mousche	Molding a fly					mousche;mouches;papillons;cygales;saulterelles				huile de froment;lame dargent		froment							
149v	p149v_4	Chauve souris	Chauve souris	Bat					Chauve souris				metal;cire							moule		
150r	p150r_1	Cire fort dure	Cire fort dure	Very strong wax									Cire;rousine;bol									
150r	p150r_2	Ligues diverses destain et plomb	Ligues diverses d’estain et plomb	Various alloys of tin and lead					tortues;lesards	doigt			estain;plomb;plomb fin;estaim;estain fin;estaim fin	moictie;moitie;lb;℥;doigt								
150r	p150r_3	Moules	Moules	Molds									plastre;charbon;plomb;estain;brique;metal;escaille de fer							Moules;moule;moules		
